,Tuples,Interarrivals
0,Tuple 1-2,19914
1,Tuple 2-3,61004
2,Tuple 3-4,16776
3,Tuple 4-5,28641
4,Tuple 5-6,46370
5,Tuple 6-7,6322
6,Tuple 7-8,828
7,Tuple 8-9,42425
8,Tuple 9-10,10703
9,Tuple 10-11,12793
10,Tuple 11-12,26632
11,Tuple 12-13,30175
12,Tuple 13-14,17837
13,Tuple 14-15,969
14,Tuple 15-16,7928
15,Tuple 16-17,1778
16,Tuple 17-18,16349
17,Tuple 18-19,126877
18,Tuple 19-20,52760
19,Tuple 20-21,14834
20,Tuple 21-22,647
21,Tuple 22-23,23354
22,Tuple 23-24,14747
23,Tuple 24-25,3144
24,Tuple 25-26,7069
25,Tuple 26-27,7654
26,Tuple 27-28,21538
27,Tuple 28-29,1454
28,Tuple 29-30,42846
29,Tuple 30-31,1987
30,Tuple 31-32,3657
31,Tuple 32-33,1152
32,Tuple 33-34,1109
33,Tuple 34-35,1415
34,Tuple 35-36,851
35,Tuple 36-37,561
36,Tuple 37-38,90571
37,Tuple 38-39,24162
38,Tuple 39-40,2388
39,Tuple 40-41,81575
40,Tuple 41-42,1079
41,Tuple 42-43,2610
42,Tuple 43-44,2302
43,Tuple 44-45,39850
44,Tuple 45-46,788
45,Tuple 46-47,73881
46,Tuple 47-48,15593
47,Tuple 48-49,5727
48,Tuple 49-50,2949
49,Tuple 50-51,87449
50,Tuple 51-52,1070
51,Tuple 52-53,4242
52,Tuple 53-54,4162
53,Tuple 54-55,6492
54,Tuple 55-56,865
55,Tuple 56-57,25414
56,Tuple 57-58,44661
57,Tuple 58-59,75314
58,Tuple 59-60,7267
59,Tuple 60-61,16838
60,Tuple 61-62,2109
61,Tuple 62-63,2677
62,Tuple 63-64,53297
63,Tuple 64-65,505
64,Tuple 65-66,1036
65,Tuple 66-67,8721
66,Tuple 67-68,13610
67,Tuple 68-69,49060
68,Tuple 69-70,5913
69,Tuple 70-71,16120
70,Tuple 71-72,3316
71,Tuple 72-73,9778
72,Tuple 73-74,2980
73,Tuple 74-75,1711
74,Tuple 75-76,44047
75,Tuple 76-77,3297
76,Tuple 77-78,17073
77,Tuple 78-79,37949
78,Tuple 79-80,2663
79,Tuple 80-81,14566
80,Tuple 81-82,38602
81,Tuple 82-83,4165
82,Tuple 83-84,17621
83,Tuple 84-85,103489
84,Tuple 85-86,37654
85,Tuple 86-87,11133
86,Tuple 87-88,17796
87,Tuple 88-89,35418
88,Tuple 89-90,40944
89,Tuple 90-91,9296
90,Tuple 91-92,2451
91,Tuple 92-93,8949
92,Tuple 93-94,29359
93,Tuple 94-95,7049
94,Tuple 95-96,34019
95,Tuple 96-97,16106
96,Tuple 97-98,57694
97,Tuple 98-99,7518
98,Tuple 99-100,4129
99,Tuple 100-101,3721
100,Tuple 101-102,96823
101,Tuple 102-103,9895
102,Tuple 103-104,9632
103,Tuple 104-105,13579
104,Tuple 105-106,1036
105,Tuple 106-107,186295
106,Tuple 107-108,8659
107,Tuple 108-109,5121
108,Tuple 109-110,768
109,Tuple 110-111,2881
110,Tuple 111-112,1478
111,Tuple 112-113,4156
112,Tuple 113-114,3181
113,Tuple 114-115,6949
114,Tuple 115-116,3966
115,Tuple 116-117,17256
116,Tuple 117-118,35236
117,Tuple 118-119,15493
118,Tuple 119-120,15147
119,Tuple 120-121,2543
120,Tuple 121-122,1289
121,Tuple 122-123,609
122,Tuple 123-124,5266
123,Tuple 124-125,52608
124,Tuple 125-126,6935
125,Tuple 126-127,66499
126,Tuple 127-128,86337
127,Tuple 128-129,40226
128,Tuple 129-130,1394
129,Tuple 130-131,16762
130,Tuple 131-132,29471
131,Tuple 132-133,19977
132,Tuple 133-134,3950
133,Tuple 134-135,3785
134,Tuple 135-136,2554
135,Tuple 136-137,5167
136,Tuple 137-138,1058
137,Tuple 138-139,6450
138,Tuple 139-140,26080
139,Tuple 140-141,152907
140,Tuple 141-142,650
141,Tuple 142-143,1082
142,Tuple 143-144,10653
143,Tuple 144-145,48814
144,Tuple 145-146,5966
145,Tuple 146-147,20249
146,Tuple 147-148,21637
147,Tuple 148-149,139624
148,Tuple 149-150,7927
149,Tuple 150-151,9875
150,Tuple 151-152,26965
151,Tuple 152-153,45364
152,Tuple 153-154,788
153,Tuple 154-155,1631
154,Tuple 155-156,1047
155,Tuple 156-157,13741
156,Tuple 157-158,21779
157,Tuple 158-159,9272
158,Tuple 159-160,18280
159,Tuple 160-161,762
160,Tuple 161-162,14401
161,Tuple 162-163,9779
162,Tuple 163-164,10899
163,Tuple 164-165,21921
164,Tuple 165-166,25126
165,Tuple 166-167,2072
166,Tuple 167-168,533
167,Tuple 168-169,1439
168,Tuple 169-170,7741
169,Tuple 170-171,8161
170,Tuple 171-172,1882
171,Tuple 172-173,37967
172,Tuple 173-174,925
173,Tuple 174-175,578
174,Tuple 175-176,1762
175,Tuple 176-177,614
176,Tuple 177-178,835
177,Tuple 178-179,1794
178,Tuple 179-180,1812
179,Tuple 180-181,4735
180,Tuple 181-182,6553
181,Tuple 182-183,20168
182,Tuple 183-184,22502
183,Tuple 184-185,22588
184,Tuple 185-186,1431
185,Tuple 186-187,3394
186,Tuple 187-188,20170
187,Tuple 188-189,106821
188,Tuple 189-190,6275
189,Tuple 190-191,22886
190,Tuple 191-192,8676
191,Tuple 192-193,64241
192,Tuple 193-194,2687
193,Tuple 194-195,21062
194,Tuple 195-196,756
195,Tuple 196-197,7905
196,Tuple 197-198,595
197,Tuple 198-199,1949
198,Tuple 199-200,9323
199,Tuple 200-201,4100
200,Tuple 201-202,4034
201,Tuple 202-203,4719
202,Tuple 203-204,3773
203,Tuple 204-205,3830
204,Tuple 205-206,2175
205,Tuple 206-207,63722
206,Tuple 207-208,5276
207,Tuple 208-209,5503
208,Tuple 209-210,5169
209,Tuple 210-211,5086
210,Tuple 211-212,1830
211,Tuple 212-213,503
212,Tuple 213-214,5334
213,Tuple 214-215,3834
214,Tuple 215-216,1096
215,Tuple 216-217,2756
216,Tuple 217-218,1401
217,Tuple 218-219,61181
218,Tuple 219-220,6339
219,Tuple 220-221,1548
220,Tuple 221-222,8001
221,Tuple 222-223,25303
222,Tuple 223-224,16439
223,Tuple 224-225,12314
224,Tuple 225-226,44826
225,Tuple 226-227,13131
226,Tuple 227-228,28382
227,Tuple 228-229,28622
228,Tuple 229-230,39914
229,Tuple 230-231,35264
230,Tuple 231-232,6904
231,Tuple 232-233,7612
232,Tuple 233-234,2657
233,Tuple 234-235,3171
234,Tuple 235-236,68905
235,Tuple 236-237,15250
236,Tuple 237-238,49206
237,Tuple 238-239,708
238,Tuple 239-240,3138
239,Tuple 240-241,18314
240,Tuple 241-242,1998
241,Tuple 242-243,56524
242,Tuple 243-244,6451
243,Tuple 244-245,12359
244,Tuple 245-246,4515
245,Tuple 246-247,1954
246,Tuple 247-248,7685
247,Tuple 248-249,2876
248,Tuple 249-250,38439
249,Tuple 250-251,2896
250,Tuple 251-252,4325
251,Tuple 252-253,34024
252,Tuple 253-254,12014
253,Tuple 254-255,32898
254,Tuple 255-256,9882
255,Tuple 256-257,4836
256,Tuple 257-258,590
257,Tuple 258-259,3969
258,Tuple 259-260,31828
259,Tuple 260-261,22654
260,Tuple 261-262,21365
261,Tuple 262-263,16764
262,Tuple 263-264,1469
263,Tuple 264-265,17079
264,Tuple 265-266,40178
265,Tuple 266-267,830
266,Tuple 267-268,6726
267,Tuple 268-269,3281
268,Tuple 269-270,19708
269,Tuple 270-271,4771
270,Tuple 271-272,13456
271,Tuple 272-273,51592
272,Tuple 273-274,5114
273,Tuple 274-275,1276
274,Tuple 275-276,1226
275,Tuple 276-277,82003
276,Tuple 277-278,8625
277,Tuple 278-279,17223
278,Tuple 279-280,8355
279,Tuple 280-281,3085
280,Tuple 281-282,25946
281,Tuple 282-283,2589
282,Tuple 283-284,671
283,Tuple 284-285,42704
284,Tuple 285-286,2078
285,Tuple 286-287,4269
286,Tuple 287-288,2953
287,Tuple 288-289,30588
288,Tuple 289-290,11662
289,Tuple 290-291,50799
290,Tuple 291-292,3409
291,Tuple 292-293,32273
292,Tuple 293-294,2194
293,Tuple 294-295,20180
294,Tuple 295-296,12629
295,Tuple 296-297,15550
296,Tuple 297-298,7195
297,Tuple 298-299,34040
298,Tuple 299-300,8123
299,Tuple 300-301,34632
300,Tuple 301-302,161150
301,Tuple 302-303,46002
302,Tuple 303-304,47149
303,Tuple 304-305,45040
304,Tuple 305-306,76814
305,Tuple 306-307,25825
306,Tuple 307-308,31269
307,Tuple 308-309,93657
308,Tuple 309-310,48044
309,Tuple 310-311,674
310,Tuple 311-312,66770
311,Tuple 312-313,9076
312,Tuple 313-314,45836
313,Tuple 314-315,892
314,Tuple 315-316,34744
315,Tuple 316-317,6531
316,Tuple 317-318,68581
317,Tuple 318-319,1751
318,Tuple 319-320,93702
319,Tuple 320-321,6878
320,Tuple 321-322,31354
321,Tuple 322-323,37465
322,Tuple 323-324,973
323,Tuple 324-325,560
324,Tuple 325-326,2541
325,Tuple 326-327,6345
326,Tuple 327-328,3354
327,Tuple 328-329,65248
328,Tuple 329-330,19750
329,Tuple 330-331,783
330,Tuple 331-332,1002
331,Tuple 332-333,123472
332,Tuple 333-334,31883
333,Tuple 334-335,21997
334,Tuple 335-336,14632
335,Tuple 336-337,45689
336,Tuple 337-338,33859
337,Tuple 338-339,20048
338,Tuple 339-340,5993
339,Tuple 340-341,2247
340,Tuple 341-342,23198
341,Tuple 342-343,16917
342,Tuple 343-344,4653
343,Tuple 344-345,5588
344,Tuple 345-346,19546
345,Tuple 346-347,130224
346,Tuple 347-348,2647
347,Tuple 348-349,9025
348,Tuple 349-350,47498
349,Tuple 350-351,117974
350,Tuple 351-352,175640
351,Tuple 352-353,154427
352,Tuple 353-354,30655
353,Tuple 354-355,4368
354,Tuple 355-356,67729
