win_dim,num_tuples
10,377
20,352
30,342
40,337
50,335
60,334
70,328
80,299
90,296
100,296
110,295
120,293
130,292
140,290
150,290
160,289
170,289
180,286
190,284
200,283
210,281
220,281
230,281
240,279
250,276
260,274
270,274
280,273
290,272
300,271
310,270
320,267
330,267
340,267
350,263
360,261
370,261
380,261
390,261
400,259
410,258
420,258
430,257
440,254
450,253
460,252
470,252
480,252
490,249
500,249
510,247
520,247
530,247
540,246
550,246
560,245
570,245
580,245
590,244
600,243
610,242
620,241
630,241
640,241
650,240
660,240
670,240
680,239
690,239
700,239
710,239
720,239
730,239
740,238
750,238
760,237
770,235
780,235
790,233
800,233
810,233
820,233
830,232
840,232
850,232
860,232
870,232
880,231
890,231
900,230
910,230
920,230
930,230
940,230
950,230
960,230
970,229
980,228
990,228
1000,228
1010,227
1020,227
1030,227
1040,227
1050,227
1060,226
1070,226
1080,226
1090,226
1100,225
1110,225
1120,225
1130,225
1140,225
1150,225
1160,225
1170,225
1180,225
1190,225
1200,225
1210,225
1220,225
1230,225
1240,223
1250,223
1260,223
1270,223
1280,223
1290,223
1300,223
1310,223
1320,223
1330,223
1340,223
1350,223
1360,223
1370,223
1380,223
1390,223
1400,222
1410,221
1420,221
1430,221
1440,220
1450,220
1460,220
1470,219
1480,218
1490,218
1500,218
1510,218
1520,218
1530,218
1540,218
1550,217
1560,217
1570,217
1580,217
1590,217
1600,217
1610,217
1620,217
1630,217
1640,217
1650,217
1660,217
1670,217
1680,217
1690,217
1700,217
1710,217
1720,217
1730,217
1740,217
1750,217
1760,216
1770,216
1780,216
1790,216
1800,216
1810,215
1820,214
1830,213
1840,213
1850,213
1860,213
1870,213
1880,213
1890,213
1900,213
1910,213
1920,213
1930,213
1940,213
1950,212
1960,212
1970,212
1980,212
1990,211
2000,210
2010,210
2020,210
2030,210
2040,210
2050,210
2060,210
2070,210
2080,209
2090,209
2100,209
2110,208
2120,208
2130,208
2140,208
2150,208
2160,208
2170,208
2180,208
2190,208
2200,208
2210,207
2220,207
2230,207
2240,207
2250,207
2260,207
2270,206
2280,206
2290,206
2300,206
2310,206
2320,206
2330,206
2340,206
2350,206
2360,206
2370,206
2380,206
2390,205
2400,205
2410,205
2420,205
2430,205
2440,205
2450,205
2460,204
2470,204
2480,204
2490,204
2500,204
2510,204
2520,204
2530,204
2540,204
2550,203
2560,203
2570,203
2580,203
2590,203
2600,203
2610,203
2620,203
2630,203
2640,203
2650,203
2660,203
2670,201
2680,200
2690,199
2700,199
2710,199
2720,199
2730,199
2740,199
2750,199
2760,198
2770,198
2780,198
2790,198
2800,198
2810,198
2820,198
2830,198
2840,198
2850,198
2860,198
2870,198
2880,197
2890,196
2900,195
2910,195
2920,195
2930,195
2940,195
2950,195
2960,194
2970,194
2980,194
2990,194
3000,194
3010,194
3020,194
3030,194
3040,194
3050,194
3060,194
3070,194
3080,194
3090,194
3100,194
3110,194
3120,194
3130,194
3140,193
3150,192
3160,192
3170,192
3180,192
3190,191
3200,190
3210,190
3220,190
3230,190
3240,190
3250,190
3260,190
3270,190
3280,190
3290,190
3300,190
3310,190
3320,190
3330,189
3340,189
3350,189
3360,188
3370,188
3380,188
3390,188
3400,186
3410,185
3420,185
3430,185
3440,185
3450,185
3460,185
3470,185
3480,185
3490,185
3500,185
3510,185
3520,185
3530,185
3540,185
3550,185
3560,185
3570,185
3580,185
3590,185
3600,185
3610,185
3620,185
3630,184
3640,184
3650,184
3660,184
3670,184
3680,184
3690,184
3700,184
3710,184
3720,184
3730,184
3740,184
3750,184
3760,184
3770,184
3780,183
3790,183
3800,183
3810,183
3820,183
3830,183
3840,182
3850,182
3860,182
3870,182
3880,182
3890,182
3900,182
3910,182
3920,182
3930,182
3940,182
3950,181
3960,181
3970,179
3980,179
3990,179
4000,179
4010,179
4020,179
4030,179
4040,179
4050,178
4060,178
4070,178
4080,178
4090,178
4100,177
4110,177
4120,177
4130,177
4140,177
4150,177
4160,176
4170,176
4180,176
4190,176
4200,176
4210,176
4220,176
4230,176
4240,176
4250,176
4260,176
4270,175
4280,175
4290,175
4300,175
4310,175
4320,175
4330,174
4340,174
4350,174
4360,174
4370,174
4380,174
4390,174
4400,174
4410,174
4420,174
4430,174
4440,174
4450,174
4460,174
4470,174
4480,174
4490,174
4500,174
4510,174
4520,173
4530,173
4540,173
4550,173
4560,173
4570,173
4580,173
4590,173
4600,173
4610,173
4620,173
4630,173
4640,173
4650,173
4660,173
4670,173
4680,172
4690,172
4700,172
4710,172
4720,171
4730,171
4740,170
4750,170
4760,170
4770,170
4780,169
4790,169
4800,169
4810,169
4820,169
4830,169
4840,168
4850,168
4860,168
4870,168
4880,168
4890,168
4900,168
4910,168
4920,168
4930,168
4940,168
4950,168
4960,168
4970,168
4980,168
4990,168
5000,168
