win_dim,num_tuples
10,3959
20,2936
30,2341
40,1966
50,1627
60,1283
70,1125
80,998
90,914
100,835
110,769
120,718
130,672
140,636
150,611
160,590
170,576
180,555
190,526
200,503
210,497
220,489
230,484
240,474
250,469
260,464
270,462
280,457
290,454
300,453
310,451
320,445
330,444
340,442
350,440
360,440
370,438
380,435
390,434
400,432
410,432
420,430
430,429
440,429
450,426
460,425
470,424
480,422
490,422
500,421
510,421
520,418
530,418
540,418
550,416
560,415
570,412
580,411
590,411
600,410
610,410
620,410
630,408
640,407
650,405
660,405
670,405
680,403
690,402
700,402
710,401
720,400
730,400
740,398
750,398
760,398
770,398
780,397
790,397
800,396
810,393
820,393
830,393
840,392
850,392
860,391
870,390
880,390
890,390
900,390
910,390
920,389
930,386
940,385
950,385
960,382
970,379
980,379
990,378
1000,378
1010,377
1020,376
1030,375
1040,375
1050,372
1060,372
1070,371
1080,371
1090,370
1100,370
1110,369
1120,369
1130,368
1140,366
1150,364
1160,363
1170,362
1180,361
1190,360
1200,359
1210,357
1220,357
1230,357
1240,357
1250,355
1260,353
1270,353
1280,351
1290,350
1300,350
1310,350
1320,349
1330,348
1340,347
1350,347
1360,345
1370,344
1380,342
1390,341
1400,341
1410,340
1420,340
1430,340
1440,340
1450,340
1460,340
1470,340
1480,333
1490,331
1500,331
1510,330
1520,329
1530,329
1540,328
1550,327
1560,327
1570,326
1580,326
1590,326
1600,326
