win_dim,num_tuples
10,87
20,76
30,76
40,75
50,72
60,68
70,68
80,68
90,66
100,64
110,63
120,63
130,63
140,63
150,63
160,63
170,63
180,63
190,61
200,60
210,60
220,59
230,59
240,59
250,59
260,59
270,59
280,59
290,59
300,59
310,59
320,59
330,59
340,59
350,59
360,59
370,59
380,59
390,59
400,59
410,59
420,58
430,57
440,57
450,57
460,57
470,57
480,57
490,57
500,57
510,57
520,57
530,57
540,57
550,57
560,57
570,57
580,57
590,57
600,57
610,57
620,57
630,57
640,57
650,57
660,57
670,57
680,57
690,57
700,57
710,57
720,57
730,57
740,57
750,57
760,57
770,57
780,57
790,57
800,57
810,56
820,56
830,56
840,55
850,55
860,55
870,55
880,55
890,55
900,55
910,55
920,55
930,55
940,55
950,55
960,55
970,55
980,55
990,55
1000,55
1010,55
1020,55
1030,55
1040,55
1050,54
1060,54
1070,54
1080,54
1090,54
1100,54
1110,54
1120,54
1130,54
1140,54
1150,53
1160,53
1170,53
1180,53
1190,53
1200,53
1210,53
1220,53
1230,53
1240,53
1250,53
1260,53
1270,53
1280,53
1290,53
1300,53
1310,53
1320,53
1330,53
1340,53
1350,53
1360,53
1370,53
1380,53
1390,53
1400,53
1410,53
1420,53
1430,53
1440,53
1450,53
1460,53
1470,53
1480,53
1490,53
1500,53
1510,53
1520,53
1530,53
1540,53
1550,53
1560,53
1570,53
1580,53
1590,53
1600,53
