,Tuples,Interarrivals
0,Tuple 1-2,17508
1,Tuple 2-3,1908
2,Tuple 3-4,248
3,Tuple 4-5,391
4,Tuple 5-6,260
5,Tuple 6-7,203
6,Tuple 7-8,457
7,Tuple 8-9,211
8,Tuple 9-10,229
9,Tuple 10-11,480
10,Tuple 11-12,705
11,Tuple 12-13,514
12,Tuple 13-14,377
13,Tuple 14-15,477
14,Tuple 15-16,3812
15,Tuple 16-17,1953
16,Tuple 17-18,25906
17,Tuple 18-19,12451
18,Tuple 19-20,21004
19,Tuple 20-21,22759
20,Tuple 21-22,17370
21,Tuple 22-23,19059
22,Tuple 23-24,968
23,Tuple 24-25,33504
24,Tuple 25-26,12164
25,Tuple 26-27,381
26,Tuple 27-28,1101
27,Tuple 28-29,2185
28,Tuple 29-30,7675
29,Tuple 30-31,26204
30,Tuple 31-32,11025
31,Tuple 32-33,1473
32,Tuple 33-34,2879
33,Tuple 34-35,5168
34,Tuple 35-36,11025
35,Tuple 36-37,11025
36,Tuple 37-38,11025
37,Tuple 38-39,1473
38,Tuple 39-40,933
39,Tuple 40-41,8619
40,Tuple 41-42,1473
41,Tuple 42-43,2076
42,Tuple 43-44,7475
43,Tuple 44-45,4959
44,Tuple 45-46,4480
45,Tuple 46-47,11025
46,Tuple 47-48,1203
47,Tuple 48-49,2916
48,Tuple 49-50,6906
49,Tuple 50-51,1473
50,Tuple 51-52,9551
51,Tuple 52-53,1133
52,Tuple 53-54,7308
53,Tuple 54-55,11025
54,Tuple 55-56,1473
55,Tuple 56-57,9552
56,Tuple 57-58,1473
57,Tuple 58-59,8502
58,Tuple 59-60,12047
59,Tuple 60-61,12498
60,Tuple 61-62,9552
61,Tuple 62-63,11025
62,Tuple 63-64,1028
63,Tuple 64-65,234
64,Tuple 65-66,681
65,Tuple 66-67,1776
66,Tuple 67-68,806
67,Tuple 68-69,831
68,Tuple 69-70,413
69,Tuple 70-71,1142
70,Tuple 71-72,211
71,Tuple 72-73,2386
72,Tuple 73-74,1250
73,Tuple 74-75,1280
74,Tuple 75-76,1365
75,Tuple 76-77,8328
76,Tuple 77-78,22050
77,Tuple 78-79,33075
78,Tuple 79-80,22996
79,Tuple 80-81,10039
80,Tuple 81-82,33075
81,Tuple 82-83,12807
82,Tuple 83-84,6659
83,Tuple 84-85,2463
84,Tuple 85-86,11025
85,Tuple 86-87,11872
86,Tuple 87-88,4787
87,Tuple 88-89,240
88,Tuple 89-90,5244
89,Tuple 90-91,580
90,Tuple 91-92,10281
91,Tuple 92-93,11024
92,Tuple 93-94,1382
93,Tuple 94-95,9632
94,Tuple 95-96,11024
95,Tuple 96-97,2389
96,Tuple 97-98,8636
97,Tuple 98-99,24015
98,Tuple 99-100,7231
99,Tuple 100-101,5469
100,Tuple 101-102,4671
101,Tuple 102-103,44100
102,Tuple 103-104,9077
103,Tuple 104-105,1931
104,Tuple 105-106,8418
105,Tuple 106-107,2701
106,Tuple 107-108,2771
107,Tuple 108-109,5256
108,Tuple 109-110,2501
109,Tuple 110-111,6607
110,Tuple 111-112,4057
111,Tuple 112-113,10930
112,Tuple 113-114,11025
113,Tuple 114-115,11024
114,Tuple 115-116,3258
115,Tuple 116-117,396
116,Tuple 117-118,414
117,Tuple 118-119,6743
118,Tuple 119-120,714
119,Tuple 120-121,444
120,Tuple 121-122,5035
121,Tuple 122-123,4738
122,Tuple 123-124,1607
123,Tuple 124-125,677
124,Tuple 125-126,8718
125,Tuple 126-127,11025
