Carico;Risorsa;Tempi risposta
250 req/s;small;2.6
250 req/s;small;2.27
250 req/s;small;2.11
250 req/s;small;1.99
250 req/s;small;3.07
500 req/s;small;11.27
500 req/s;small;3.18
500 req/s;small;2.83
500 req/s;small;2.9
500 req/s;small;12.15
750 req/s;small;10.88
750 req/s;small;12.55
750 req/s;small;10.64
750 req/s;small;11.88
750 req/s;small;13.01
250 req/s;medium;8.91
250 req/s;medium;9.28
250 req/s;medium;7.14
250 req/s;medium;11.14
250 req/s;medium;8.03
500 req/s;medium;64.3
500 req/s;medium;68.34
500 req/s;medium;62.1
500 req/s;medium;78.13
500 req/s;medium;80.09
750 req/s;medium;87.22
750 req/s;medium;84.46
750 req/s;medium;80.11
750 req/s;medium;74.24
750 req/s;medium;72.09
250 req/s;big;14.76
250 req/s;big;19.66
250 req/s;big;13.82
250 req/s;big;18.08
250 req/s;big;15.11
500 req/s;big;82.27
500 req/s;big;78.49
500 req/s;big;82.87
500 req/s;big;79.8
500 req/s;big;83.35
750 req/s;big;86.41
750 req/s;big;98.11
750 req/s;big;84.3
750 req/s;big;81.33
750 req/s;big;86.22
