Carico,Risorsa,Tempi risposta,Residuo Tempi risposta
250 req/s,small,"2,6","0,192"
250 req/s,small,"2,27","-0,138"
250 req/s,small,"2,11","-0,298"
250 req/s,small,"1,99","-0,418"
250 req/s,small,"3,07","0,662"
500 req/s,small,"11,27","4,804"
500 req/s,small,"3,18","-3,286"
500 req/s,small,"2,83","-3,636"
500 req/s,small,"2,9","-3,566"
500 req/s,small,"12,15","5,684"
750 req/s,small,"10,88","-0,912"
750 req/s,small,"12,55","0,758"
750 req/s,small,"10,64","-1,152"
750 req/s,small,"11,88","0,088"
750 req/s,small,"13,01","1,218"
250 req/s,medium,"8,91","0,01"
250 req/s,medium,"9,28","0,38"
250 req/s,medium,"7,14","-1,76"
250 req/s,medium,"11,14","2,24"
250 req/s,medium,"8,03","-0,87"
500 req/s,medium,"64,3","-6,292"
500 req/s,medium,"68,34","-2,252"
500 req/s,medium,"62,1","-8,492"
500 req/s,medium,"78,13","7,538"
500 req/s,medium,"80,09","9,498"
750 req/s,medium,"87,22","7,596"
750 req/s,medium,"84,46","4,836"
750 req/s,medium,"80,11","0,486"
750 req/s,medium,"74,24","-5,384"
750 req/s,medium,"72,09","-7,534"
250 req/s,big,"14,76","-1,526"
250 req/s,big,"19,66","3,374"
250 req/s,big,"13,82","-2,466"
250 req/s,big,"18,08","1,794"
250 req/s,big,"15,11","-1,176"
500 req/s,big,"82,27","0,914"
500 req/s,big,"78,49","-2,866"
500 req/s,big,"82,87","1,514"
500 req/s,big,"79,8","-1,556"
500 req/s,big,"83,35","1,994"
750 req/s,big,"86,41","-0,864"
750 req/s,big,"98,11","10,836"
750 req/s,big,"84,3","-2,974"
750 req/s,big,"81,33","-5,944"
750 req/s,big,"86,22","-1,054"
