timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1608199962067,7,HTTP Request small,200,OK,Thread Group 1 1-1,bin,true,,152918,133,1,1,http://192.168.56.101/jupiter_small.jpg,4,0,2
1608199962116,185,HTTP Request small,200,OK,Thread Group 2 2-1,bin,true,,152918,133,1,3,http://192.168.56.101/jupiter_small.jpg,116,0,115
1608199962211,93,HTTP Request small,200,OK,Thread Group 3 3-1,bin,true,,152918,133,1,3,http://192.168.56.101/jupiter_small.jpg,29,0,20
1608199962567,26,HTTP Request mid,200,OK,Thread Group 1 1-1,bin,true,,1031744,133,1,3,http://192.168.56.101/cassiopea_mid.jpg,2,0,0
1608199963070,6,HTTP Request small,200,OK,Thread Group 1 1-2,bin,true,,152918,133,2,4,http://192.168.56.101/jupiter_small.jpg,3,0,0
1608199963067,86,HTTP Request big,200,OK,Thread Group 1 1-1,bin,true,,2962329,133,2,4,http://192.168.56.101/andromeda_big.jpg,2,0,0
1608199963115,51,HTTP Request mid,200,OK,Thread Group 2 2-1,bin,true,,1031744,133,1,4,http://192.168.56.101/cassiopea_mid.jpg,3,0,0
1608199964067,2,HTTP Request small,200,OK,Thread Group 1 1-1,bin,true,,152917,133,3,5,http://192.168.56.101/jupiter_small.jpg,0,0,0
1608199964068,4,HTTP Request small,200,OK,Thread Group 1 1-3,bin,true,,152918,133,3,5,http://192.168.56.101/jupiter_small.jpg,1,0,1
1608199964068,30,HTTP Request mid,200,OK,Thread Group 1 1-2,bin,true,,1031744,133,3,5,http://192.168.56.101/cassiopea_mid.jpg,5,0,0
1608199964115,54,HTTP Request big,200,OK,Thread Group 2 2-1,bin,true,,2962329,133,1,5,http://192.168.56.101/andromeda_big.jpg,1,0,0
1608199964207,6,HTTP Request small,200,OK,Thread Group 2 2-2,bin,true,,152918,133,2,6,http://192.168.56.101/jupiter_small.jpg,3,0,2
1608199964210,25,HTTP Request mid,200,OK,Thread Group 3 3-1,bin,true,,1031744,133,1,6,http://192.168.56.101/cassiopea_mid.jpg,4,0,0
1608199965069,14,HTTP Request small,200,OK,Thread Group 1 1-4,bin,true,,152918,133,4,7,http://192.168.56.101/jupiter_small.jpg,6,0,3
1608199965116,2,HTTP Request small,200,OK,Thread Group 2 2-1,bin,true,,152917,133,2,7,http://192.168.56.101/jupiter_small.jpg,1,0,0
1608199965212,4,HTTP Request small,200,OK,Thread Group 3 3-2,bin,true,,152918,133,2,8,http://192.168.56.101/jupiter_small.jpg,2,0,0
1608199965566,32,HTTP Request mid,200,OK,Thread Group 1 1-1,bin,true,,1031744,133,4,8,http://192.168.56.101/cassiopea_mid.jpg,1,0,0
1608199965569,37,HTTP Request mid,200,OK,Thread Group 1 1-3,bin,true,,1031744,133,4,8,http://192.168.56.101/cassiopea_mid.jpg,5,0,0
1608199965568,57,HTTP Request big,200,OK,Thread Group 1 1-2,bin,true,,2962329,133,4,8,http://192.168.56.101/andromeda_big.jpg,1,0,0
1608199966098,111,HTTP Request small,200,OK,Thread Group 1 1-5,bin,true,,152918,133,5,9,http://192.168.56.101/jupiter_small.jpg,103,0,100
1608199966223,9,HTTP Request small,200,OK,Thread Group 2 2-3,bin,true,,152918,133,3,10,http://192.168.56.101/jupiter_small.jpg,8,0,2
1608199966206,491,HTTP Request mid,200,OK,Thread Group 2 2-2,bin,true,,1031744,133,3,10,http://192.168.56.101/cassiopea_mid.jpg,30,0,0
1608199966210,549,HTTP Request big,200,OK,Thread Group 3 3-1,bin,true,,2962329,133,2,10,http://192.168.56.101/andromeda_big.jpg,11,0,0
1608199967134,103,HTTP Request small,200,OK,Thread Group 1 1-6,bin,true,,152918,133,6,11,http://192.168.56.101/jupiter_small.jpg,101,0,3
1608199967073,253,HTTP Request mid,200,OK,Thread Group 1 1-4,bin,true,,1031744,133,6,11,http://192.168.56.101/cassiopea_mid.jpg,9,0,0
1608199967117,242,HTTP Request mid,200,OK,Thread Group 2 2-1,bin,true,,1031744,133,3,11,http://192.168.56.101/cassiopea_mid.jpg,152,0,0
1608199967570,78,HTTP Request small,200,OK,Thread Group 1 1-2,bin,true,,152917,133,6,11,http://192.168.56.101/jupiter_small.jpg,67,0,0
1608199967567,197,HTTP Request big,200,OK,Thread Group 1 1-1,bin,true,,2962329,133,6,11,http://192.168.56.101/andromeda_big.jpg,46,0,0
1608199967573,218,HTTP Request big,200,OK,Thread Group 1 1-3,bin,true,,2962329,133,6,11,http://192.168.56.101/andromeda_big.jpg,13,0,0
1608199968072,8,HTTP Request small,200,OK,Thread Group 1 1-7,bin,true,,152918,133,7,12,http://192.168.56.101/jupiter_small.jpg,5,0,1
1608199968117,7,HTTP Request small,200,OK,Thread Group 2 2-4,bin,true,,152918,133,4,13,http://192.168.56.101/jupiter_small.jpg,2,0,0
1608199968214,11,HTTP Request small,200,OK,Thread Group 3 3-3,bin,true,,152918,133,3,14,http://192.168.56.101/jupiter_small.jpg,6,0,2
1608199968580,39,HTTP Request mid,200,OK,Thread Group 1 1-5,bin,true,,1031744,133,7,14,http://192.168.56.101/cassiopea_mid.jpg,1,0,0
1608199969080,18,HTTP Request small,200,OK,Thread Group 1 1-8,bin,true,,152918,133,8,15,http://192.168.56.101/jupiter_small.jpg,16,0,15
1608199969212,138,HTTP Request mid,200,OK,Thread Group 3 3-2,bin,true,,1031744,133,3,15,http://192.168.56.101/cassiopea_mid.jpg,3,0,0
1608199969206,217,HTTP Request big,200,OK,Thread Group 2 2-2,bin,true,,2962329,133,4,15,http://192.168.56.101/andromeda_big.jpg,2,0,0
1608199969230,210,HTTP Request mid,200,OK,Thread Group 2 2-3,bin,true,,1031744,133,4,15,http://192.168.56.101/cassiopea_mid.jpg,122,0,0
