procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0  31884 128180  30156 630936    0    7   318   144  211  616 17  3 80  0  0
 0  0  31884 117304  30156 631016    0    0    96     4  431 2227 48 14 36  1  0
 0  0  31884 117052  30156 631016    0    0     0     4  150  471  6  0 94  0  0
 1  0  31884 117052  30168 631020    0    0     0    96  152  386  5  1 94  0  0
 0  0  31884 117052  30168 631020    0    0     0     4  132  372  7  1 92  0  0
 1  0  31884 117052  30168 631020    0    0     0     4  140  364  5  2 93  0  0
 1  0  31884 117052  30168 631020    0    0     0     8  137  359  5  0 95  0  0
 0  0  31884 117052  30168 631024    0    0     0     4  121  382  7  2 91  0  0
 0  0  31884 117052  30176 631024    0    0     0    60  129  374 10  0 90  0  0
 0  0  31884 117052  30176 631024    0    0     0     4  115  327  7  1 92  0  0
 5  0  31884 117156  30176 630976    0    0     0     4  177  531 15  7 78  0  0
 1  0  31884 115888  30176 630944    0    0     0     4  750  897 20 14 66  0  0
 0  0  31884 115668  30188 630948    0    0     0   496  673  537  9 11 79  1  0
 0  0  31884 115668  30188 630948    0    0     0     4  199  376  4  3 93  0  0
10  0  31884 115412  30188 630948    0    0     0     4  692 1012 47 16 37  0  0
 0  0  31884 117472  30188 630952    0    0     0     4  660  714 31 23 45  0  0
 0  0  31884 117472  30188 630952    0    0     0     4  778  465  9 20 71  0  0
 0  0  31884 117440  30196 630948    0    0     0    56  516  465 11 18 71  0  0
12  0  31884 116676  30196 630952    0    0     4     4  267  364 13 18 69  0  0
 0  0  31884 117220  30196 630960    0    0     0     4  521  448  9 19 72  0  0
 0  0  31884 117220  30196 630960    0    0     0     4  372  380  7 13 80  0  0
 0  0  31884 117220  30196 630960    0    0     0     4  423  505  7  7 85  0  0
 0  0  31884 117220  30204 630960    0    0     0    56  311  465  9 12 80  0  0
 0  0  31884 117220  30204 630972    0    0     0     4 1185  574 18 29 53  0  0
 1  0  31884 116932  30204 630972    0    0     0     4  640  428  6 11 82  0  0
 0  0  31884 117220  30204 630972    0    0     0     4  326  414  8  3 89  0  0
 0  0  31884 117220  30204 630972    0    0     0     4  437  438  6  9 84  0  0
 0  0  31884 117220  30212 630976    0    0     0    56  722  495  6  9 85  0  0
 0  0  31884 117220  30212 630976    0    0     0     4  321  432  4  4 92  0  0
 1  0  31884 117220  30212 630976    0    0     0     4  573  459  6 14 80  0  0
 6  0  31884 116548  30212 630980    0    0     0     4  574  514 14 35 51  0  0
 0  0  31884 117220  30212 630984    0    0     0   376 1242  588  8 23 68  0  0
 0  0  31884 117220  30216 630984    0    0     4    68  691  500  6  9 85  0  0
 0  0  31884 117220  30216 630984    0    0     0     4  655  467 10  7 83  0  0
 0  0  31884 117220  30216 630984    0    0     0     4  566  469  4 13 83  0  0
 0  0  31884 117220  30216 630992    0    0     0     4  425  412  6  8 86  0  0
 0  0  31884 117220  30216 630992    0    0     0   100  942  563  4 15 80  0  0
 0  0  31884 117220  30216 630996    0    0     4    60  408  505 10  7 82  1  0
 2  0  31884 117220  30216 630996    0    0     0     4  525  436 11  7 82  0  0
 4  0  31884 116968  30216 631000    0    0     0     0 1046  430  3 14 83  0  0
 0  0  31884 116684  30216 631000    0    0     0     4  600  457  4  9 86  0  0
 1  0  31884 116716  30216 631004    0    0     0    28  492  357  4  7 89  0  0
 0  0  31884 116716  30224 631004    0    0     0    64  606  465  3  6 91  0  0
 0  0  31884 116716  30224 631008    0    0     0     4  338  387  3  4 93  0  0
 0  0  31884 116716  30224 631008    0    0     0     4  541  419  4  6 90  0  0
 1  0  31884 116716  30224 631008    0    0     0     4  732  456  6 10 84  0  0
 0  0  31884 116464  30224 631008    0    0     0     4  275  406  4  3 93  0  0
 0  0  31884 116464  30224 631012    0    0     0     4  606  447  5  8 87  0  0
 0  0  31884 116464  30248 631052    0    0     0   172  796  540  7 15 76  1  0
 0  0  31884 116212  30248 631056    0    0     0     8  704  463  6 10 84  0  0
 1  0  31884 116212  30248 631052    0    0     0     4  527  458  8  9 83  0  0
 0  0  31884 116212  30248 631056    0    0     4     4  510  435  3  6 91  0  0
 0  0  31884 115708  30248 631052    0    0     4     4  444  803 13  8 79  0  0
 0  0  31884 115708  30256 631056    0    0     8    84  470  448  6  6 88  0  0
 0  0  31884 115708  30256 631056    0    0     4     4  831  516  5 13 81  0  0
 0  0  31884 115456  30256 631060    0    0     4     4  689  526  6 11 83  0  0
 0  0  31884 115456  30256 631064    0    0     4     4  260  392  7  5 88  0  0
 0  0  31884 115456  30256 631064    0    0     4     4 1149  543  4 15 80  0  0
 0  0  31884 115456  30264 631064    0    0     4    56  642  449  4  7 89  0  0
 0  0  31884 115456  30264 631068    0    0     4     4  278  395  5  3 92  0  0
 0  0  31884 115456  30264 631068    0    0     4     4  544  458  6  7 87  0  0
 0  0  31884 115204  30264 631068    0    0     4     4  633  432  5  7 88  0  0
 0  0  31884 115204  30264 631068    0    0     4   500  439  448  4  3 93  0  0
 0  0  31884 115204  30268 631076    0    0     8    64  368  410  5  4 91  0  0
 0  0  31884 115204  30268 631076    0    0     4     4 1013  490  3 16 80  0  0
 0  0  31884 115204  30268 631076    0    0     4     4  217  382  5  2 93  0  0
 0  0  31884 115204  30268 631076    0    0     4     4  639  473  3  4 93  0  0
 0  0  31884 114700  30268 631080    0    0     4     4  948  512  4 17 79  0  0
 0  0  31884 114700  30272 631076    0    0     4    56  248  399  5  4 91  0  0
 1  0  31884 114700  30272 631080    0    0     8     4  702  453  3 11 85  0  0
 0  0  31884 114700  30272 631084    0    0     4     4 1102  546  6 20 74  0  0
 0  0  31884 114700  30272 631088    0    0     4     4  251  432  4  3 93  0  0
 0  0  31884 114448  30272 631088    0    0     4    56  588  493  5  6 89  0  0
 0  0  31884 114448  30276 631088    0    0     4    56  420  421  5  6 88  1  0
 0  0  31884 114448  30276 631088    0    0     4     4  362  436  6  5 88  0  0
 0  0  31884 114196  30276 631092    0    0     4     4  783  543 10 15 74  0  0
 0  0  31884 114196  30276 631096    0    0     4     4  194  411  6  2 92  0  0
 0  0  31884 114196  30276 631096    0    0     4    28  739  509  6 11 83  0  0
 0  0  31884 114196  30284 631096    0    0     4    64  201  395  4  2 94  0  0
 0  0  31884 114132  30284 631100    0    0     4     4  503  459  8  8 84  0  0
 5  0  31884 114164  30284 631104    0    0     4     4  482  382  5  8 87  0  0
 5  0  31884 113912  30284 631100    0    0     4     4  666  507  4  7 89  0  0
 0  0  31884 113912  30284 631100    0    0     0    72  852  413  5 11 84  0  0
 0  0  31884 113912  30284 631104    0    0     4     4  207  345  5  2 93  0  0
 0  0  31884 113912  30292 631108    0    0     4    56  844  550  4 12 84  0  0
 0  0  31884 113912  30292 631108    0    0     4     4  567  491  6  7 87  0  0
 0  0  31884 113912  30292 631108    0    0     4     4  256  415  6  4 90  0  0
 0  0  31884 113912  30292 631108    0    0     4     4  602  482  6  9 85  0  0
 0  0  31884 113912  30292 631112    0    0     4     4  634  485  7  7 85  0  0
 0  0  31884 113912  30300 631112    0    0     4    56  541  453  5 12 83  0  0
 0  0  31884 113912  30300 631116    0    0     4     4  763  468  3 16 81  0  0
 1  0  31884 113912  30300 631116    0    0     4     4  244  412  6  3 91  0  0
 0  0  31884 113912  30300 631120    0    0     4   408  687  456  4  9 86  0  0
 0  0  31884 113912  30300 631120    0    0     4     4  583  446  4  9 87  0  0
 0  0  31884 113912  30308 631120    0    0     4    64  645  494  4  9 86  0  0
 0  0  31884 113912  30308 631120    0    0     4     4  228  401  6  3 91  0  0
 0  0  31884 113628  30308 631124    0    0     4     4  817  523  5 10 84  0  0
 0  0  31884 113628  30308 631128    0    0     4     4  708  510  7 16 77  0  0
 0  0  31884 113376  30308 631128    0    0     4     4  431  421 10  6 84  0  0
 0  0  31884 113376  30308 631128    0    0     4    56  812  511  3 15 82  0  0
 0  0  31884 113376  30308 631136    0    0     4     8  811  514  7 15 78  0  0
 0  0  31884 113376  30308 631132    0    0     4     4  510  459  5  9 86  0  0
 0  0  31884 113376  30308 631132    0    0     8     4  940  547  5 16 78  0  0
 0  0  31884 113376  30308 631136    0    0     8     4  633  440  3 10 87  0  0
 0  0  31884 113376  30312 631140    0    0     8    64  265  384  4  6 89  0  0
 0  0  31884 113376  30312 631140    0    0     8     4  533  452  7  7 86  0  0
 0  0  31884 113376  30312 631140    0    0     8     4  445  441  5  7 88  0  0
 0  0  31884 113376  30312 631140    0    0     8     4  862  503  6 13 81  0  0
 0  0  31884 113376  30312 631144    0    0     8    48  561  434  6  5 89  0  0
 0  0  31884 113124  30332 631148    0    0     8   160  755  483  4  9 87  0  0
 0  0  31884 113124  30332 631148    0    0     8     4  257  382  4  2 94  0  0
 0  0  31884 113124  30332 631148    0    0     8     4  903  488  4 11 85  0  0
 0  0  31884 113124  30332 631156    0    0     8     4  630  457  4  8 88  0  0
 0  0  31884 112872  30332 631156    0    0     8     4  270  586  7  5 88  0  0
 0  0  31884 112872  30340 631156    0    0     8    84  975  519  6 19 75  0  0
 0  0  31884 112872  30340 631156    0    0     8     4  764  509  6 11 82  0  0
 0  0  31884 112620  30340 631160    0    0     8     4  512  453  6  7 87  0  0
 0  0  31884 112620  30340 631160    0    0     8     4  996  514  8 19 73  0  0
 0  0  31884 112368  30340 631164    0    0     8     4  545  474  6  7 86  0  0
 0  0  31884 112368  30348 631164    0    0     8    72  232  384  4  3 93  0  0
 0  0  31884 112368  30348 631168    0    0     8     4  874  456  4 11 85  0  0
 0  0  31884 112368  30348 631168    0    0     8     4  185  411  5  0 95  0  0
 0  0  31884 112368  30348 631168    0    0     8     4  486  474  6 11 83  0  0
 0  0  31884 112116  30348 631168    0    0     8   416  434  475  6  6 88  0  0
 0  0  31884 111864  30352 631176    0    0     8    64  551  463  4  7 87  2  0
 0  0  31884 111864  30352 631176    0    0     8     4  496  398  6  4 90  0  0
 4  0  31884 111864  30352 631184    0    0     8     4  388  409 10  4 86  0  0
 1  0  31884 111864  30352 631176    0    0     0     0  517  331  1  6 93  0  0
 0  0  31884 111864  30352 631180    0    0     8     4  269  379  4  3 93  0  0
 0  0  31884 111864  30352 631180    0    0     8     4  974  531  5 18 77  0  0
 0  0  31884 111864  30360 631180    0    0     0    52 1045  467  5 25 70  0  0
 0  0  31884 111864  30360 631180    0    0     8     4  233  475  4  3 93  0  0
 0  0  31884 111612  30360 631188    0    0     8     4  598  453  5  9 86  0  0
 0  0  31884 111612  30360 631188    0    0     8     4  343  417  5  5 90  0  0
 0  0  31884 111612  30360 631188    0    0     8     4  495  406  5  8 87  0  0
 0  0  31884 111612  30364 631188    0    0     8    56  778  535  7 15 78  0  0
 0  0  31884 111612  30364 631192    0    0     8     4  275  397  4  4 92  0  0
 0  0  31884 111612  30364 631192    0    0     8     4  513  474  8 11 81  0  0
 0  0  31884 111612  30364 631188    0    0     8    24  578  451  5 11 84  0  0
 0  0  31884 111612  30364 631188    0    0    12     4  840  541  9 23 67  0  0
 0  0  31884 111612  30368 631204    0    0    12    64  231  383  5  3 92  0  0
 0  0  31884 111612  30368 631204    0    0     8     4  735  552  5 15 80  0  0
 0  0  31884 111612  30368 631204    0    0     8     4  424  493  6  5 89  0  0
 0  0  31884 111360  30368 631204    0    0     8   128  575  467  6 15 79  0  0
 0  0  31884 111360  30368 631208    0    0     8     4  878  516  6 19 75  0  0
 0  0  31884 111360  30372 631208    0    0     8    60  731  507  6 14 80  0  0
 0  0  31884 111360  30372 631208    0    0     8     4  243  397  4  2 94  0  0
 0  0  31884 111360  30372 631212    0    0     8     4  943  478  5 16 78  0  0
 0  0  31884 111360  30372 631216    0    0     8    28  920  517  8 20 72  0  0
 0  0  31884 111360  30372 631212    0    0     8     4  691  429  5 10 85  0  0
 0  0  31884 111360  30376 631220    0    0    12    60  535  486  4  7 89  0  0
 0  0  31884 111360  30376 631216    0    0     8     4  449  434  6  8 86  0  0
 0  0  31884 111108  30376 631220    0    0    12     4  627  483  5  7 88  0  0
 0  0  31884 111108  30376 631220    0    0    12     4  418  426  6  4 90  0  0
 0  0  31884 110856  30376 631220    0    0    12   428  808  513  4 14 81  0  0
 0  0  31884 110856  30384 631212    0    0    12    72  236  385  6  3 90  1  0
 0  0  31884 110856  30384 631228    0    0    12     4  671  451  5  7 88  0  0
 0  0  31884 110856  30384 631228    0    0    12     4 1144  587 10 21 69  0  0
 0  0  31884 110856  30384 631228    0    0    12     4  279  410 12  3 85  0  0
 0  0  31884 110856  30384 631228    0    0    12     4  740  453  4 12 84  0  0
 0  0  31884 110856  30388 631232    0    0    16    60  697  519  5 11 84  0  0
 0  0  31884 110856  30388 631232    0    0    12     4  488  435  6  8 86  0  0
 0  0  31884 102260  30396 631320    0    0    12    68  763 1417 20 19 60  0  0
 0  0  31884 101944  30396 631328    0    0    16     4  305 1004 19  5 76  0  0
 0  0  31884 101944  30396 631332    0    0    12     4  550  493  7 10 83  0  0
 0  0  31884 101944  30396 631332    0    0    12     4  768  508  7 17 76  0  0
 0  0  31884 108868  30396 631332    0    0    12     4  219  524  8  4 88  0  0
 0  0  31884 108868  30400 631332    0    0    12    84  464  465  6  9 85  0  0
 0  0  31884 108868  30400 631336    0    0    12     4  269  403  5  3 92  0  0
 1  0  31884 108868  30400 631336    0    0     0    20  588  335  2  7 91  0  0
 0  0  31884 108868  30412 631372    0    0    12   124  527  457  5 12 83  0  0
 0  0  31884 108868  30412 631372    0    0     0     0  651  379  5 10 85  0  0
 0  0  31884 108868  30412 631344    0    0    12     4  575  506 10 10 79  0  0
 0  0  31884 108900  30412 631344    0    0     0     0  458  474  5  4 91  0  0
 0  0  31884 104224  30412 631248    0    0    12     4  945  984 10 18 71  0  0
 0  0  31884 104224  30416 631248    0    0     0    88  663  399  4 12 83  1  0
 1  0  31884 104224  30416 631248    0    0    12     4  258  421  6  3 91  0  0
 0  0  31884 109840  30416 631252    0    0     0     0  594  402  4  9 86  0  0
 0  0  31884 109872  30416 631252    0    0    12     4  572  468  5 11 84  0  0
 0  0  31884 109872  30416 631256    0    0    12    64  347  385  5  7 88  0  0
 0  0  31884 109872  30420 631256    0    0    12    72  740  510  6 11 82  0  0
 0  0  31884 109872  30420 631260    0    0    12     4  247  407  6  3 91  0  0
 0  0  31884 109872  30420 631260    0    0    12     4  817  480  6 16 77  0  0
 0  0  31884 109872  30420 631260    0    0    12     4  460  458  6  9 85  0  0
 0  0  31884 109872  30420 631260    0    0    12   548  645  523  7 10 83  0  0
