procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0   5164 113380 119780 972956    1    4   989   562  229  765 15  3 82  0  0
 0  0   5164 100488 119780 972984    0    0     0     4  278 1778 22  4 74  0  0
 0  0   5164 100236 119780 972984    0    0     0     4  168  441  4  0 96  0  0
 0  0   5164 100236 119788 972976    0    0     0   628  147  364  3  0 96  1  0
 0  0   5164 100236 119788 972988    0    0     0     4  169  376  2  1 97  0  0
 0  0   5164 100236 119788 972988    0    0     0     4  283  428  2  3 95  0  0
 0  0   5164 100236 119788 972988    0    0     0     4  433  406  4  3 93  0  0
 0  0   5164 100236 119788 972988    0    0     0     4  140  382  4  1 95  0  0
 0  0   5164 100236 119788 972996    0    0     0    36  322  450  4  4 92  0  0
 0  0   5164  99984 119796 972996    0    0     0    56  151  355  3  1 96  0  0
 0  0   5164  99984 119796 972996    0    0     0     4  492  424  4  5 91  0  0
 0  0   5164  99984 119796 972996    0    0     0     4  240  432  4  3 93  0  0
 0  0   5164  99984 119796 973000    0    0     0     4  271  377  3  1 96  0  0
 0  0   5164  99984 119796 973000    0    0     0     4  406  363  3  6 91  0  0
 0  0   5164  99984 119804 973000    0    0     0    56  304  384  2  2 96  0  0
 0  0   5164  99984 119804 973000    0    0     0     4  321  759  8  4 88  0  0
 0  0   5164  99984 119804 973008    0    0     0     4  238  594  5  1 94  0  0
 0  0   5164  99984 119804 973008    0    0     0     4  764  440  3  9 88  0  0
 0  0   5164  99984 119804 973008    0    0     0     4  168  324  2  1 97  0  0
 0  0   5164  99984 119812 973008    0    0     0    56  265  358  4  1 95  0  0
 0  0   5164  99984 119812 973012    0    0     0     4  479  412  2  4 94  0  0
 0  0   5164 100448 119828 972996    0    0     0   384  363  402  3  3 94  0  0
 0  0   5164 100196 119828 973012    0    0     0     4  171  379  2  1 97  0  0
 0  0   5164 100196 119828 973012    0    0     0     4  548  404  3  8 89  0  0
 0  0   5164 100196 119828 973020    0    0     0    12  328  390  3  5 92  0  0
 0  0   5164 100196 119828 973020    0    0     0     4  166  357  2  1 97  0  0
 0  0   5164  99944 119844 973056    0    0     0   136  491  439  3  6 91  0  0
 0  0   5164  99944 119844 973056    0    0     0     4  162  332  1  1 98  0  0
 0  0   5164  99692 119844 973060    0    0     0     4  267  384  3  2 95  0  0
 0  0   5164  99692 119844 973060    0    0     0     4  232  388  3  2 95  0  0
 0  0   5164  99692 119844 973064    0    0     0     4  566  449  3 10 87  0  0
 0  0   5164  99692 119852 973056    0    0     0    72  160  347  2  2 96  0  0
 0  0   5164  99440 119852 973068    0    0     0     4  296  408  3  2 95  0  0
 0  0   5164  99440 119852 973068    0    0     0     4  448  427  3  5 92  0  0
 0  0   5164  99440 119852 973068    0    0     0   324  387  367  3  3 94  0  0
 0  0   5164  99440 119852 973068    0    0     0     4  368  408  2  4 94  0  0
 0  0   5164  99440 119860 973072    0    0     0    64  154  359  2  2 96  0  0
 0  0   5164  99188 119860 973076    0    0     0     4  428  387  3  3 94  0  0
 0  0   5164  99188 119860 973076    0    0     0     4  214  358  2  1 97  0  0
 0  0   5164  99188 119864 973072    0    0     0    84  229  352  3  2 95  0  0
 0  0   5164  99188 119864 973080    0    0     0     4  456  378  3  3 94  0  0
 0  0   5164  98936 119872 973072    0    0     0    68  262  361  3  1 96  0  0
 0  0   5164  98936 119872 973080    0    0     0     4  215  375  1  1 98  0  0
 0  0   5164  98936 119872 973080    0    0     0     4  111  313  2  1 97  0  0
 0  0   5164  98652 119872 973088    0    0     0     4  534  437  2  5 93  0  0
 0  0   5164  98652 119872 973088    0    0     0     4  167  338  2  1 97  0  0
 0  0   5164  98652 119880 973092    0    0     0    56  253  367  2  3 95  0  0
 0  0   5164  98368 119880 973092    0    0     0     4  396  361  2  2 96  0  0
 0  0   5164  98400 119880 973096    0    0     0     4  388  392  3  4 93  0  0
 0  0   5164  98148 119880 973100    0    0     0     8  161  336  1  0 99  0  0
 0  0   5164  98148 119880 973096    0    0     0     4  737  403  2  7 91  0  0
 0  0   5164  98148 119888 973088    0    0     4    60  279  418  5  8 87  0  0
 0  0   5164  98148 119888 973100    0    0     4     4  415  410  5  8 86  1  0
 0  0   5164  98148 119888 973100    0    0     4     4  250  361  2  1 97  0  0
 0  0   5164  98148 119888 973104    0    0     4     4  408  383  2  4 94  0  0
 0  0   5164  98148 119888 973104    0    0     4     4  259  373  3  1 96  0  0
 0  0   5164  97896 119896 973108    0    0     4    56  540  450  4  7 89  0  0
 0  0   5164  97896 119896 973108    0    0     4     4  232  379  5  2 93  0  0
 0  0   5164  97896 119896 973108    0    0     4     4  171  363  6  3 91  0  0
 0  0   5164  97888 119896 973116    0    0     4     4  459  376  3  6 91  0  0
 0  0   5164  97888 119896 973120    0    0     4    40  264  382  4  1 95  0  0
 0  0   5164  97888 119912 973156    0    0     4   120  351  390  2  3 95  0  0
 0  0   5164  97888 119912 973120    0    0     4     4  461 1044 10  5 85  0  0
 0  0   5164  97888 119912 973120    0    0     4     4  733  435  6 13 81  0  0
 0  0   5164  97888 119912 973128    0    0     4     4  181  352  2  2 96  0  0
 0  0   5164  97824 119912 973128    0    0     4   348  689  485  4 10 86  0  0
 0  0   5164  97856 119920 973128    0    0     8    84  392  382  1  4 95  0  0
 0  0   5164  97856 119920 973128    0    0     4     4  164  361  4  0 96  0  0
 0  0   5164  97604 119920 973132    0    0     4     4  476  406  3  5 92  0  0
 0  0   5164  97604 119920 973132    0    0     4     4  388  381  5  4 91  0  0
